,Time,Epoch,Step,LR,Loss,Accuracy,IoU,Dice
0,2024-05-11_08:02:06,0,0,0.025,0.751746654510498,0.5,0.0,0.0
1,2024-05-11_08:05:20,0,8,0.025,0.6467492646641202,0.5,0.0,0.0
2,2024-05-11_08:08:01,0,16,0.025,0.6136639924610362,0.5,0.0,0.0
3,2024-05-11_08:10:51,0,24,0.025,0.5958336138725281,0.5000003051757812,5.352293397851761e-07,1.0700658677336062e-06
4,2024-05-11_08:13:08,0,32,0.025,0.5847195675878814,0.5091407852943497,0.03236374251834135,0.04810188319562108
5,2024-05-11_08:15:49,0,40,0.025,0.5763603783235317,0.5228594648159617,0.09626262385377979,0.13305920833966783
6,2024-05-11_08:18:38,0,48,0.025,0.5685582793488795,0.5422644323232223,0.15443898966385478,0.20691868783256626
7,2024-05-11_08:18:56,1,0,0.024923916823191623,0.5114996433258057,0.6564496358235677,0.46134648969778214,0.6093328008301434
8,2024-05-11_08:19:05,1,8,0.024923916823191623,0.5094379319085015,0.6797591315375434,0.4898839259169464,0.6312422229432904
9,2024-05-11_08:19:13,1,16,0.024923916823191623,0.5144687610514024,0.6630142810297948,0.5026995180427156,0.6226005076062546
10,2024-05-11_08:19:21,1,24,0.024923916823191623,0.5091387724876404,0.6680845642089843,0.5046317956502846,0.6278076186545861
11,2024-05-11_08:19:28,1,32,0.024923916823191623,0.5039261669823618,0.6716698925904553,0.5006879737893931,0.6303533383541123
12,2024-05-11_08:19:35,1,40,0.024923916823191623,0.4996837762797751,0.6781173954165078,0.504813604483843,0.637209746812469
13,2024-05-11_08:19:41,1,48,0.024923916823191623,0.4956708976200649,0.6725928637446189,0.5053102963881392,0.6349010272364392
14,2024-05-11_08:19:43,2,0,0.02473449970440457,0.4671369791030884,0.5582008361816406,0.5152552089861515,0.5772484267255985
15,2024-05-11_08:19:48,2,8,0.02473449970440457,0.4643094042936961,0.4905594719780816,0.5104913800312113,0.5260394848276847
16,2024-05-11_08:19:54,2,16,0.02473449970440457,0.4615413055700414,0.4643711015289905,0.5236443161288293,0.5101948914958511
17,2024-05-11_08:20:00,2,24,0.02473449970440457,0.45841060996055605,0.44515909830729167,0.5169037111574214,0.49619718604753216
18,2024-05-11_08:20:05,2,32,0.02473449970440457,0.45518676168990857,0.4353389932651712,0.5166291665642271,0.48992103718757163
19,2024-05-11_08:20:11,2,40,0.02473449970440457,0.4523544515051493,0.43228487464470594,0.5166076237954295,0.48855195144184477
20,2024-05-11_08:20:17,2,48,0.02473449970440457,0.45707831394915677,0.4285520177309205,0.5094108067604646,0.4801992037790357
21,2024-05-11_08:20:18,3,0,0.024471043990880726,0.49746960401535034,0.3820482889811198,0.4463316104855652,0.3540043926456344
22,2024-05-11_08:20:24,3,8,0.024471043990880726,0.4854003820154402,0.38696345576533564,0.4871004073365737,0.38247354532409106
23,2024-05-11_08:20:29,3,16,0.024471043990880726,0.4733828867183012,0.39287155749751074,0.4878509299417225,0.40698459010791677
24,2024-05-11_08:20:35,3,24,0.024471043990880726,0.46371023774147035,0.4009734598795573,0.49590313952579446,0.42816152728084605
25,2024-05-11_08:20:41,3,32,0.024471043990880726,0.4557409602584261,0.3985991429800939,0.49924049158433537,0.4355772939181138
26,2024-05-11_08:20:46,3,40,0.024471043990880726,0.4498126761215489,0.3971001539773088,0.5008160833937506,0.4401926440228097
