,Time,Epoch,Step,LR,Loss,Accuracy,IoU,Dice,Node_1_A,Node_2_A,Node_3_A,SSB_A,CSB_A
0,2024-05-10_04:47:54,0,0,0.025,0.7265755534172058,0.4964701334635417,0.057980054308996276,0.09141529904751322,[],[],[],[],[]
1,2024-05-10_04:49:45,0,0,0.025,0.7406781911849976,0.4822095235188802,0.0721901736972801,0.11603095482642227,[],[],[],[],[]
2,2024-05-10_04:52:32,0,8,0.025,0.6991579731305441,0.502852545844184,0.03579491048752853,0.05832730960338236,[],[],[],[],[]
3,2024-05-10_04:54:56,0,16,0.025,0.6820949210840113,0.5107948452818627,0.05439668828334401,0.08620677206486695,[],[],[],[],[]
4,2024-05-10_04:57:05,0,24,0.025,0.6583524942398071,0.526817881266276,0.09414599157934528,0.13660668501355433,[],[],[],[],[]
5,2024-05-10_04:59:01,0,32,0.025,0.6364538362531951,0.5648617985272648,0.17503152932170815,0.2287520100389651,[],[],[],[],[]
6,2024-05-10_05:01:03,0,40,0.025,0.6201749458545591,0.6113560064052178,0.26993050868213786,0.333596551728484,[],[],[],[],[]
7,2024-05-10_05:03:05,0,48,0.025,0.6079671723502023,0.6448640109730416,0.33897434150771855,0.40764959789979444,[],[],[],[],[]
8,2024-05-10_05:04:53,0,56,0.025,0.5967404560038918,0.6715111983449835,0.3941312597778429,0.4646036342494804,[],[],[],[],[]
9,2024-05-10_05:05:16,0,-1,0.025,-1.0,-1.0,-1.0,-1.0,"[0.0005, 0.0014, 0.001, 0.0014, 0.0005, -0.0014, -0.0018, -0.0007, -0.0009, 0.0005]","[0.0002, -0.0002, 0.002, 0.002, 0.0005, -0.0025, 0.0009, 0.0005, 0.0009, 0.0006, 0.0007, 0.0022, 0.0006, 0.0031, 0.0008, -0.0013, 0.0019, -0.0005, 0.0012, 0.0002]","[0.002, 0.0006, 0.0024, 0.0001, -0.0, 0.0026, 0.0004, -0.0008, -0.0002, -0.001, -0.0003, 0.0045, 0.0005, 0.0012, 0.002, 0.0003, -0.0003, -0.0042, -0.0037, -0.001, 0.0002, 0.0028, 0.0005, -0.0009, 0.001, 0.0016, 0.0017, 0.0008, 0.0018, 0.0017]","[-0.0009, -0.0007, -0.001, -0.0005]","[-0.0009, -0.0017, -0.0009, -0.0002]"
10,2024-05-10_05:05:16,0,-1,0.025,-1.0,-1.0,-1.0,-1.0,"[0.0004, 0.0002, 0.0002, -0.0001, 0.0011, -0.0014, -0.0007, 0.002, 0.0014, 0.0007]","[-0.0006, 0.002, 0.0003, 0.0006, 0.0015, -0.0004, 0.0011, -0.0003, -0.0002, 0.0009, -0.0019, -0.0008, 0.001, 0.0004, -0.0014, 0.0006, 0.0007, 0.0022, 0.0013, -0.0016]","[0.0001, 0.0013, 0.0009, 0.0005, -0.0024, -0.0001, 0.0042, 0.0001, -0.0005, -0.0005, -0.0002, 0.0, 0.0027, -0.0018, 0.0005, -0.0005, 0.0001, 0.001, -0.0008, 0.0005, -0.0015, 0.0009, 0.0019, 0.0015, -0.001, 0.0009, -0.0002, -0.0025, 0.0001, -0.0001]","[0.0009, -0.0002, -0.001, -0.0009]","[0.0022, -0.0025, 0.0004, 0.0013]"
